id_docente,asignatura,semestre,numero_estudiantes,puntaje_claridad,puntaje_metodologia,puntaje_evaluacion,comentario,tendencia_desempeno
Docente_37,Programación Orientada a Objetos,2020-1,34,4.6,4.6,3.7,Se nota que sabe mucho de la materia.,Estable
Docente_27,Ingeniería de Software,2022-2,44,3.6,4.5,3.8,Cumple con el programa.,Estable
Docente_14,Ingeniería de Software,2022-2,22,3.7,3.9,4.1,Cumple con el programa.,Estable
Docente_26,Programación Orientada a Objetos,2022-1,29,3.9,4.7,3.2,Los temas son difíciles pero se entienden.,Estable
Docente_49,Matemáticas Básicas,2020-1,29,4.1,3.9,4.0,Falta mucha pedagogía.,Estable
Docente_37,Matemáticas Básicas,2020-2,32,2.4,2.8,2.0,No resuelve las dudas de los estudiantes.,En riesgo
Docente_33,Bases de Datos,2021-1,44,4.9,4.4,4.1,Los talleres son muy útiles para aprender.,Mejora
Docente_5,Programación Orientada a Objetos,2022-2,24,3.6,4.3,4.0,Los talleres son muy útiles para aprender.,Estable
Docente_29,Ética Profesional,2022-1,34,3.5,4.3,4.1,No resuelve las dudas de los estudiantes.,Estable
Docente_1,Ingeniería de Software,2022-1,44,2.0,2.6,2.5,Los temas son difíciles pero se entienden.,En riesgo
Docente_7,Programación Orientada a Objetos,2022-1,18,3.5,4.5,4.6,La clase es muy dinámica y entretenida.,Estable
Docente_48,Estructuras de Datos,2021-1,23,3.6,4.6,3.8,"El profesor es normal, ni muy bueno ni muy malo.",Estable
Docente_39,Programación Orientada a Objetos,2022-2,21,3.7,4.3,3.7,Cumple con el programa.,Estable
Docente_33,Inteligencia Artificial,2022-1,43,2.1,2.7,2.8,"No explica bien, me siento perdido.",En riesgo
Docente_6,Ingeniería de Software,2023-1,41,2.9,3.7,4.4,Cumple con el programa.,Estable
Docente_3,Matemáticas Básicas,2022-2,39,3.2,4.2,4.1,Resuelve las dudas con mucha paciencia.,Estable
Docente_41,Bases de Datos,2021-1,38,4.2,4.6,3.4,La clase estuvo bien.,Mejora
Docente_36,Ingeniería de Software,2023-1,32,3.7,2.0,2.2,"No explica bien, me siento perdido.",En riesgo
Docente_8,Matemáticas Básicas,2021-1,32,4.8,5.0,4.2,Explica muy bien los temas.,Mejora
Docente_24,Estructuras de Datos,2021-1,28,2.6,2.3,2.5,Califica de forma injusta.,En riesgo
Docente_3,Bases de Datos,2022-2,43,5.0,4.4,4.1,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_3,Bases de Datos,2021-2,36,5.0,4.7,5.0,La clase es muy dinámica y entretenida.,Mejora
Docente_43,Matemáticas Básicas,2022-2,39,3.6,3.9,3.5,Llega tarde a las clases frecuentemente.,Estable
Docente_27,Estructuras de Datos,2021-1,44,4.5,4.7,4.0,La clase es muy dinámica y entretenida.,Mejora
Docente_11,Ética Profesional,2021-1,43,4.0,3.9,3.1,"No explica bien, me siento perdido.",Estable
Docente_2,Programación Orientada a Objetos,2022-2,40,1.9,2.8,2.4,Falta mucha pedagogía.,En riesgo
Docente_43,Ética Profesional,2021-2,23,4.7,4.6,5.0,Se nota que sabe mucho de la materia.,Mejora
Docente_45,Matemáticas Básicas,2023-1,42,4.0,5.0,3.4,"Excelente profesor, muy claro.",Estable
Docente_31,Programación Orientada a Objetos,2021-2,41,3.7,4.4,3.1,La clase es muy aburrida y monótona.,Estable
Docente_23,Bases de Datos,2021-2,22,4.9,3.8,4.1,Explica muy bien los temas.,Mejora
Docente_43,Programación Orientada a Objetos,2023-1,25,2.8,4.1,4.1,Cumple con el programa.,Estable
Docente_5,Ética Profesional,2022-1,26,5.0,4.1,5.0,Los temas son difíciles pero se entienden.,Mejora
Docente_33,Inteligencia Artificial,2022-2,45,2.4,2.4,2.6,"No explica bien, me siento perdido.",En riesgo
Docente_8,Bases de Datos,2021-1,33,3.3,3.8,4.4,Cumple con el programa.,Estable
Docente_3,Matemáticas Básicas,2023-1,26,3.7,3.9,3.9,Los temas son difíciles pero se entienden.,Estable
Docente_28,Estructuras de Datos,2020-2,27,2.7,2.6,2.4,"El profesor es normal, ni muy bueno ni muy malo.",En riesgo
Docente_13,Bases de Datos,2020-1,37,3.6,3.1,3.1,"No explica bien, me siento perdido.",Estable
Docente_1,Estructuras de Datos,2021-2,26,4.1,3.1,4.4,"No explica bien, me siento perdido.",Estable
Docente_5,Ingeniería de Software,2022-2,34,4.6,5.0,4.5,Los talleres son muy útiles para aprender.,Mejora
Docente_43,Ética Profesional,2020-2,38,3.6,4.0,3.5,Llega tarde a las clases frecuentemente.,En riesgo
Docente_33,Bases de Datos,2023-1,25,1.8,2.4,3.3,Falta mucha pedagogía.,En riesgo
Docente_45,Bases de Datos,2021-1,21,4.9,5.0,3.5,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_43,Inteligencia Artificial,2021-1,34,4.2,3.8,3.9,Los parciales no tienen nada que ver con lo visto en clase.,Estable
Docente_20,Inteligencia Artificial,2020-1,24,2.7,4.7,3.1,"El profesor es normal, ni muy bueno ni muy malo.",Estable
Docente_14,Inteligencia Artificial,2022-2,29,2.5,3.2,2.2,La clase estuvo bien.,En riesgo
Docente_29,Ingeniería de Software,2021-2,31,1.3,1.2,2.3,La clase estuvo bien.,En riesgo
Docente_48,Programación Orientada a Objetos,2020-2,24,3.7,3.9,3.2,No resuelve las dudas de los estudiantes.,Estable
Docente_43,Ingeniería de Software,2022-2,17,4.0,3.9,4.3,La clase estuvo bien.,Estable
Docente_44,Bases de Datos,2021-2,40,3.6,3.7,3.4,Me inspiró a seguir aprendiendo sobre este tema.,Estable
Docente_10,Matemáticas Básicas,2020-1,22,4.2,4.6,3.9,La clase estuvo bien.,Mejora
Docente_40,Ética Profesional,2020-2,29,4.5,3.7,4.3,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_41,Estructuras de Datos,2021-2,37,3.8,3.6,3.9,"Asistencia puntual, pero falta dinamismo.",Estable
Docente_32,Inteligencia Artificial,2021-2,19,3.1,2.2,2.0,Los temas son difíciles pero se entienden.,En riesgo
Docente_45,Matemáticas Básicas,2020-2,39,4.8,4.5,3.2,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_15,Programación Orientada a Objetos,2023-2,16,3.5,2.8,4.2,Llega tarde a las clases frecuentemente.,Estable
Docente_16,Ética Profesional,2020-2,29,1.8,4.8,3.1,Califica de forma injusta.,En riesgo
Docente_30,Ingeniería de Software,2022-2,45,5.0,3.6,4.0,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_29,Estructuras de Datos,2023-1,41,3.3,3.6,3.3,Llega tarde a las clases frecuentemente.,Estable
Docente_29,Programación Orientada a Objetos,2023-2,29,4.6,5.0,4.9,Resuelve las dudas con mucha paciencia.,Mejora
Docente_49,Programación Orientada a Objetos,2022-1,39,4.1,3.9,3.4,No resuelve las dudas de los estudiantes.,Estable
Docente_32,Ingeniería de Software,2021-2,23,3.6,4.7,3.6,La clase es muy aburrida y monótona.,Estable
Docente_5,Ingeniería de Software,2022-1,22,3.5,4.4,4.8,Cumple con el programa.,Estable
Docente_22,Bases de Datos,2020-2,19,3.8,4.0,3.6,Resuelve las dudas con mucha paciencia.,Estable
Docente_15,Inteligencia Artificial,2021-1,37,4.4,4.3,4.2,La clase es muy dinámica y entretenida.,Mejora
Docente_5,Inteligencia Artificial,2023-1,25,4.1,4.4,3.1,Cumple con el programa.,Mejora
Docente_30,Inteligencia Artificial,2020-1,21,3.0,2.4,1.9,Falta mucha pedagogía.,En riesgo
Docente_25,Ética Profesional,2020-1,42,2.7,2.8,2.0,"Asistencia puntual, pero falta dinamismo.",En riesgo
Docente_37,Inteligencia Artificial,2023-2,15,3.5,3.9,4.2,Se podría mejorar un poco el material de estudio.,Estable
Docente_20,Ética Profesional,2023-1,42,4.3,3.5,3.5,"No explica bien, me siento perdido.",Estable
Docente_35,Ingeniería de Software,2021-2,30,3.3,3.1,3.8,La clase estuvo bien.,Estable
Docente_18,Inteligencia Artificial,2023-2,15,3.7,4.9,3.8,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_22,Ingeniería de Software,2023-1,38,3.9,3.6,3.8,Los talleres son muy útiles para aprender.,Estable
Docente_30,Programación Orientada a Objetos,2020-1,44,3.5,4.3,4.4,"Asistencia puntual, pero falta dinamismo.",Estable
Docente_38,Estructuras de Datos,2020-1,17,4.2,2.7,3.4,"No explica bien, me siento perdido.",Estable
Docente_9,Ética Profesional,2023-2,20,3.9,3.9,4.0,"Excelente profesor, muy claro.",Estable
Docente_17,Inteligencia Artificial,2022-2,21,3.6,2.8,2.2,La clase estuvo bien.,En riesgo
Docente_21,Bases de Datos,2023-1,23,4.3,4.5,4.7,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_27,Bases de Datos,2020-2,30,4.3,4.3,3.6,Explica muy bien los temas.,Estable
Docente_48,Estructuras de Datos,2020-1,45,3.7,4.6,3.5,Se podría mejorar un poco el material de estudio.,Estable
Docente_15,Ingeniería de Software,2020-2,39,2.7,3.9,4.6,"Excelente profesor, muy claro.",Estable
Docente_49,Matemáticas Básicas,2021-2,21,4.4,4.9,4.8,Explica muy bien los temas.,Mejora
Docente_40,Programación Orientada a Objetos,2021-2,19,3.8,3.2,4.4,Califica de forma injusta.,Estable
Docente_43,Matemáticas Básicas,2021-2,29,4.8,5.0,4.9,Se podría mejorar un poco el material de estudio.,Mejora
Docente_17,Ética Profesional,2022-2,20,3.8,3.7,3.4,Falta mucha pedagogía.,Estable
Docente_39,Ingeniería de Software,2020-2,39,5.0,4.8,4.2,Se nota que sabe mucho de la materia.,Mejora
Docente_20,Matemáticas Básicas,2020-1,44,3.1,2.4,1.8,Llega tarde a las clases frecuentemente.,En riesgo
Docente_37,Ingeniería de Software,2023-1,27,3.6,3.6,4.3,Me inspiró a seguir aprendiendo sobre este tema.,Estable
Docente_5,Estructuras de Datos,2021-2,18,4.3,4.1,4.7,"El profesor es normal, ni muy bueno ni muy malo.",Estable
Docente_44,Estructuras de Datos,2020-2,40,4.0,4.4,4.5,"El profesor es normal, ni muy bueno ni muy malo.",Mejora
Docente_3,Bases de Datos,2023-1,36,4.2,4.2,3.8,Se podría mejorar un poco el material de estudio.,Estable
Docente_5,Estructuras de Datos,2022-2,15,4.6,5.0,4.3,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_32,Matemáticas Básicas,2023-1,45,2.5,2.7,2.8,Los parciales no tienen nada que ver con lo visto en clase.,En riesgo
Docente_41,Ética Profesional,2023-2,37,3.9,4.1,3.9,Resuelve las dudas con mucha paciencia.,Estable
Docente_28,Programación Orientada a Objetos,2022-1,34,3.2,4.7,3.5,Llega tarde a las clases frecuentemente.,Estable
Docente_50,Inteligencia Artificial,2023-2,28,2.4,3.1,3.9,Se podría mejorar un poco el material de estudio.,En riesgo
Docente_38,Bases de Datos,2022-2,42,4.1,3.8,3.6,La clase estuvo bien.,Estable
Docente_6,Bases de Datos,2023-2,22,3.1,1.0,2.3,"Asistencia puntual, pero falta dinamismo.",En riesgo
Docente_30,Estructuras de Datos,2023-1,25,4.1,3.7,4.6,Explica muy bien los temas.,Estable
Docente_32,Ética Profesional,2022-2,20,3.9,4.5,4.4,La clase estuvo bien.,Mejora
Docente_14,Bases de Datos,2022-1,25,3.1,3.8,4.1,Cumple con el programa.,Estable
Docente_39,Ingeniería de Software,2022-1,32,3.3,4.2,3.4,Explica muy bien los temas.,Estable
Docente_34,Programación Orientada a Objetos,2020-2,22,2.4,4.4,2.4,Se podría mejorar un poco el material de estudio.,En riesgo
Docente_27,Inteligencia Artificial,2021-2,37,4.1,4.9,4.3,La clase estuvo bien.,Mejora
Docente_42,Ingeniería de Software,2023-2,29,4.6,4.6,4.1,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_2,Matemáticas Básicas,2022-1,22,4.5,2.6,2.8,"Asistencia puntual, pero falta dinamismo.",Estable
Docente_45,Programación Orientada a Objetos,2022-1,36,3.2,3.7,3.6,Los parciales no tienen nada que ver con lo visto en clase.,Estable
Docente_24,Inteligencia Artificial,2022-2,28,2.4,3.0,2.9,Se podría mejorar un poco el material de estudio.,En riesgo
Docente_36,Bases de Datos,2022-2,37,3.1,4.4,4.4,La clase es muy aburrida y monótona.,Estable
Docente_18,Bases de Datos,2022-1,22,4.1,4.3,4.4,"Excelente profesor, muy claro.",Mejora
Docente_47,Programación Orientada a Objetos,2022-2,18,4.4,4.1,4.8,Se podría mejorar un poco el material de estudio.,Mejora
Docente_35,Ética Profesional,2021-1,21,4.9,4.2,4.5,La clase es muy dinámica y entretenida.,Mejora
Docente_48,Inteligencia Artificial,2022-1,38,3.9,3.4,4.1,Los parciales no tienen nada que ver con lo visto en clase.,Estable
Docente_49,Estructuras de Datos,2022-1,18,3.7,5.0,3.8,La clase es muy dinámica y entretenida.,Mejora
Docente_19,Programación Orientada a Objetos,2022-2,20,3.4,3.1,4.1,"El profesor es normal, ni muy bueno ni muy malo.",Estable
Docente_1,Ingeniería de Software,2021-1,23,4.4,2.8,2.9,"Excelente profesor, muy claro.",Estable
Docente_4,Estructuras de Datos,2022-1,37,2.1,2.2,2.6,Califica de forma injusta.,En riesgo
Docente_41,Ética Profesional,2023-2,18,3.2,2.6,2.2,"No explica bien, me siento perdido.",En riesgo
Docente_37,Bases de Datos,2023-2,30,5.0,4.7,3.5,La clase estuvo bien.,Mejora
Docente_22,Programación Orientada a Objetos,2020-1,23,3.5,3.7,3.2,Califica de forma injusta.,Estable
Docente_8,Ética Profesional,2020-2,27,4.6,4.7,3.9,La clase estuvo bien.,Mejora
Docente_5,Estructuras de Datos,2020-1,19,5.0,4.9,4.2,Se nota que sabe mucho de la materia.,Mejora
Docente_37,Bases de Datos,2020-2,22,4.8,4.7,4.9,"Excelente profesor, muy claro.",Mejora
Docente_36,Ética Profesional,2023-1,34,3.3,4.2,3.7,Falta mucha pedagogía.,Estable
Docente_40,Programación Orientada a Objetos,2023-1,29,4.2,3.6,3.8,La clase es muy aburrida y monótona.,Estable
Docente_20,Ética Profesional,2023-1,24,4.3,4.7,3.7,"El profesor es normal, ni muy bueno ni muy malo.",Mejora
Docente_40,Matemáticas Básicas,2020-2,45,4.1,3.4,3.1,Me inspiró a seguir aprendiendo sobre este tema.,Estable
Docente_41,Programación Orientada a Objetos,2022-1,36,4.1,3.0,4.8,Se nota que sabe mucho de la materia.,Estable
Docente_11,Programación Orientada a Objetos,2021-1,32,2.3,2.0,2.8,La clase es muy aburrida y monótona.,En riesgo
Docente_11,Matemáticas Básicas,2023-1,29,4.8,4.0,4.4,Se podría mejorar un poco el material de estudio.,Mejora
Docente_39,Inteligencia Artificial,2022-1,16,3.5,4.5,3.4,La clase estuvo bien.,Estable
Docente_19,Ingeniería de Software,2022-1,37,4.6,4.5,5.0,La clase estuvo bien.,Mejora
Docente_5,Ingeniería de Software,2021-2,44,3.8,4.3,3.5,Cumple con el programa.,Estable
Docente_41,Estructuras de Datos,2021-2,28,3.3,4.4,2.9,La clase es muy dinámica y entretenida.,Estable
Docente_35,Programación Orientada a Objetos,2021-1,44,5.0,4.6,4.7,Resuelve las dudas con mucha paciencia.,Mejora
Docente_10,Matemáticas Básicas,2020-1,20,5.0,4.6,4.8,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_20,Estructuras de Datos,2022-1,29,4.1,4.3,4.0,La clase es muy dinámica y entretenida.,Estable
Docente_30,Ingeniería de Software,2022-1,37,3.7,4.6,4.8,Me inspiró a seguir aprendiendo sobre este tema.,Mejora
Docente_18,Estructuras de Datos,2023-2,29,4.6,4.2,4.9,"Excelente profesor, muy claro.",Mejora
Docente_39,Matemáticas Básicas,2023-1,38,3.3,2.5,2.1,Los parciales no tienen nada que ver con lo visto en clase.,En riesgo
Docente_39,Bases de Datos,2020-1,17,3.1,2.7,2.1,No resuelve las dudas de los estudiantes.,En riesgo
Docente_44,Ética Profesional,2020-1,39,4.0,5.0,4.3,Los temas son difíciles pero se entienden.,Mejora
Docente_18,Estructuras de Datos,2020-1,39,3.9,4.6,3.9,Los talleres son muy útiles para aprender.,Estable
Docente_31,Estructuras de Datos,2023-2,44,4.2,4.0,3.1,Cumple con el programa.,Estable
Docente_12,Estructuras de Datos,2023-1,35,4.8,4.6,4.9,La clase estuvo bien.,Mejora
Docente_6,Inteligencia Artificial,2022-2,28,3.4,2.1,2.1,Los parciales no tienen nada que ver con lo visto en clase.,En riesgo
Docente_21,Ingeniería de Software,2020-2,42,2.6,3.7,4.5,Los talleres son muy útiles para aprender.,Estable
Docente_22,Inteligencia Artificial,2023-2,24,3.4,4.3,3.6,"Asistencia puntual, pero falta dinamismo.",Estable
Docente_49,Estructuras de Datos,2020-1,29,4.1,4.2,4.0,"Excelente profesor, muy claro.",Mejora
Docente_21,Bases de Datos,2022-2,18,3.5,4.1,3.9,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_26,Ética Profesional,2020-1,36,3.0,3.3,2.3,Cumple con el programa.,En riesgo
Docente_30,Inteligencia Artificial,2020-1,21,4.1,2.1,3.1,Cumple con el programa.,En riesgo
Docente_24,Estructuras de Datos,2023-2,35,4.6,3.6,3.5,La clase es muy aburrida y monótona.,Estable
Docente_49,Matemáticas Básicas,2021-2,23,4.8,4.4,4.2,Cumple con el programa.,Mejora
Docente_9,Bases de Datos,2023-2,43,2.4,3.6,2.1,Se podría mejorar un poco el material de estudio.,En riesgo
Docente_32,Matemáticas Básicas,2020-1,35,4.0,3.7,3.4,Falta mucha pedagogía.,Estable
Docente_16,Ingeniería de Software,2021-1,24,3.4,4.7,4.7,Llega tarde a las clases frecuentemente.,Estable
Docente_1,Estructuras de Datos,2023-1,17,4.3,4.8,4.7,La clase es muy dinámica y entretenida.,Mejora
Docente_8,Inteligencia Artificial,2020-2,35,4.3,3.8,3.4,Resuelve las dudas con mucha paciencia.,Estable
Docente_32,Ingeniería de Software,2022-1,31,4.2,3.4,3.4,Cumple con el programa.,Estable
Docente_27,Ética Profesional,2023-2,30,4.5,4.4,4.5,La clase es muy dinámica y entretenida.,Mejora
Docente_30,Estructuras de Datos,2021-1,27,1.0,2.0,3.1,No resuelve las dudas de los estudiantes.,En riesgo
Docente_39,Estructuras de Datos,2021-1,42,4.0,4.2,4.7,Se nota que sabe mucho de la materia.,Estable
Docente_18,Ética Profesional,2023-1,25,4.6,4.7,4.9,"Asistencia puntual, pero falta dinamismo.",Mejora
Docente_33,Bases de Datos,2020-1,24,2.8,3.2,2.7,Se podría mejorar un poco el material de estudio.,En riesgo
Docente_20,Ética Profesional,2023-2,42,4.3,4.7,3.5,Resuelve las dudas con mucha paciencia.,Estable
Docente_29,Estructuras de Datos,2023-2,26,2.8,2.5,2.5,Los parciales no tienen nada que ver con lo visto en clase.,En riesgo
Docente_36,Ética Profesional,2023-1,29,3.5,4.1,4.0,Los temas son difíciles pero se entienden.,Estable
Docente_13,Ingeniería de Software,2021-2,33,4.0,4.0,3.8,"Asistencia puntual, pero falta dinamismo.",Estable
Docente_15,Ética Profesional,2023-1,16,4.2,3.2,4.5,Los temas son difíciles pero se entienden.,Estable
Docente_48,Inteligencia Artificial,2023-1,27,4.6,4.7,5.0,Los temas son difíciles pero se entienden.,Mejora
Docente_42,Programación Orientada a Objetos,2023-2,45,3.3,1.6,2.5,"No explica bien, me siento perdido.",En riesgo
Docente_9,Estructuras de Datos,2022-2,42,4.7,5.0,3.9,"Excelente profesor, muy claro.",Mejora
Docente_29,Matemáticas Básicas,2023-2,15,3.6,5.0,4.2,Se podría mejorar un poco el material de estudio.,Mejora
Docente_10,Inteligencia Artificial,2021-1,17,2.6,2.2,2.6,La clase estuvo bien.,En riesgo
Docente_17,Bases de Datos,2023-1,35,3.7,2.9,4.2,Se nota que sabe mucho de la materia.,Estable
Docente_22,Ética Profesional,2023-1,45,4.3,3.2,2.7,Los temas son difíciles pero se entienden.,Estable
Docente_41,Ingeniería de Software,2023-2,42,4.8,5.0,5.0,Cumple con el programa.,Mejora
Docente_3,Estructuras de Datos,2020-2,22,5.0,4.9,4.4,Los temas son difíciles pero se entienden.,Mejora
